file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,134,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,26
style.css,135,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,0,0
style.css,136,css,d6cd1f49,Nabila Afifah Qotrunnada,2025-10-17,17:10:58,-07:00,2025-10-17T17:10:58-07:00,0,0
style.css,137,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,0,11
style.css,138,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,1,25
style.css,139,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,0,0
style.css,140,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,0,0
style.css,141,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,0,19
style.css,142,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,1,8
style.css,143,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,0,0
style.css,144,css,d6cd1f49,Nabila Afifah Qotrunnada,2025-10-17,17:10:58,-07:00,2025-10-17T17:10:58-07:00,0,0
style.css,145,css,fd55bbc0,Nabila Afifah Qotrunnada,2025-10-17,16:53:46,-07:00,2025-10-17T16:53:46-07:00,0,13
style.css,146,css,d6cd1f49,Nabila Afifah Qotrunnada,2025-10-17,17:10:58,-07:00,2025-10-17T17:10:58-07:00,1,60
style.css,147,css,d6cd1f49,Nabila Afifah Qotrunnada,2025-10-17,17:10:58,-07:00,2025-10-17T17:10:58-07:00,1,33
style.css,148,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,0,0
style.css,149,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,0,0
style.css,150,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,0,4
style.css,151,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,1,16
style.css,152,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,1,30
style.css,153,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,0,0
style.css,154,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,0,0
style.css,155,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,0,6
style.css,156,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,0,6
style.css,157,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,0,3
style.css,158,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,0,5
style.css,159,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,0,6
style.css,160,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,29
style.css,161,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,0,0
style.css,162,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,0,0
style.css,163,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,0,6
style.css,164,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,0,6
style.css,165,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,0,4
style.css,166,css,d6cd1f49,Nabila Afifah Qotrunnada,2025-10-17,17:10:58,-07:00,2025-10-17T17:10:58-07:00,1,25
style.css,167,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,26
style.css,168,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,18
style.css,169,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,18
style.css,170,css,d6cd1f49,Nabila Afifah Qotrunnada,2025-10-17,17:10:58,-07:00,2025-10-17T17:10:58-07:00,1,35
style.css,171,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,52
style.css,172,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,0,0
style.css,173,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,0,0
style.css,174,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,0,12
style.css,175,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,0,13
style.css,176,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,26
style.css,177,css,d6cd1f49,Nabila Afifah Qotrunnada,2025-10-17,17:10:58,-07:00,2025-10-17T17:10:58-07:00,1,43
style.css,178,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,0,0
style.css,179,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,0,0
style.css,180,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,0,6
style.css,181,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,17
style.css,182,css,d6cd1f49,Nabila Afifah Qotrunnada,2025-10-17,17:10:58,-07:00,2025-10-17T17:10:58-07:00,1,25
style.css,183,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,26
style.css,184,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,18
style.css,185,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,18
style.css,186,css,d6cd1f49,Nabila Afifah Qotrunnada,2025-10-17,17:10:58,-07:00,2025-10-17T17:10:58-07:00,1,35
style.css,187,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,17
style.css,188,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,15
style.css,189,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,0,0
style.css,190,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,0,0
style.css,191,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,0,8
style.css,192,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,1,17
style.css,193,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,1,8
style.css,194,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,0,0
